id,attraction_name,attraction_url,rating,review_count,rating_details,category,description,city,languages_count,images_folder,images_path,images_count,images_list,status
1,Jardin Majorelle,/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,4.5,52038,"[{""rating"": ""Excellent"", ""count"": 28441}, {""rating"": ""Very good"", ""count"": 14602}, {""rating"": ""Average"", ""count"": 6532}, {""rating"": ""Poor"", ""count"": 1676}, {""rating"": ""Terrible"", ""count"": 818}]",Gardens,Gardens,Marrakech,28,attractions_images/jardin-majorelle/,"[""jardin-majorelle01.jpg"", ""jardin-majorelle02.jpg"", ""jardin-majorelle03.jpg"", ""jardin-majorelle04.jpg"", ""jardin-majorelle05.jpg""]",5,"['jardin-majorelle01.jpg', 'jardin-majorelle02.jpg', 'jardin-majorelle03.jpg', 'jardin-majorelle04.jpg', 'jardin-majorelle05.jpg']",MATCHED
2,Medina of Marrakesh,/Attraction_Review-g293734-d324126-Reviews-Medina_of_Marrakesh-Marrakech_Marrakech_Safi.html,4.0,19355,"[{""rating"": ""Excellent"", ""count"": 9379}, {""rating"": ""Very good"", ""count"": 6347}, {""rating"": ""Average"", ""count"": 2243}, {""rating"": ""Poor"", ""count"": 688}, {""rating"": ""Terrible"", ""count"": 707}]",Historic Sites,Historic Sites Points of Interest & Landmarks,Marrakech,27,attractions_images/medina-of-marrakesh/,"[""medina-of-marrakesh01.jpg"", ""medina-of-marrakesh02.jpg"", ""medina-of-marrakesh03.jpg"", ""medina-of-marrakesh04.jpg"", ""medina-of-marrakesh05.jpg""]",5,"['medina-of-marrakesh01.jpg', 'medina-of-marrakesh02.jpg', 'medina-of-marrakesh03.jpg', 'medina-of-marrakesh04.jpg', 'medina-of-marrakesh05.jpg']",MATCHED
3,Bahia Palace,/Attraction_Review-g293734-d610173-Reviews-Bahia_Palace-Marrakech_Marrakech_Safi.html,4.5,14243,"[{""rating"": ""Excellent"", ""count"": 6549}, {""rating"": ""Very good"", ""count"": 5366}, {""rating"": ""Average"", ""count"": 1896}, {""rating"": ""Poor"", ""count"": 348}, {""rating"": ""Terrible"", ""count"": 98}]",Historic Sites,Historic Sites Architectural Buildings,Marrakech,26,attractions_images/bahia-palace/,"[""bahia-palace01.jpg"", ""bahia-palace02.jpg"", ""bahia-palace03.jpg"", ""bahia-palace04.jpg"", ""bahia-palace05.jpg""]",5,"['bahia-palace01.jpg', 'bahia-palace02.jpg', 'bahia-palace03.jpg', 'bahia-palace04.jpg', 'bahia-palace05.jpg']",MATCHED
4,Sahara Tours 4x4,/Attraction_Review-g293734-d2353510-Reviews-Sahara_Tours_4x4-Marrakech_Marrakech_Safi.html,5.0,2361,"[{""rating"": ""Excellent"", ""count"": 2299}, {""rating"": ""Very good"", ""count"": 58}, {""rating"": ""Average"", ""count"": 6}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Safaris,Safaris,Marrakech,17,attractions_images/sahara-tours-4x4/,"[""sahara-tours-4x401.jpg"", ""sahara-tours-4x402.jpg"", ""sahara-tours-4x403.jpg"", ""sahara-tours-4x404.jpg"", ""sahara-tours-4x405.jpg""]",5,"['sahara-tours-4x401.jpg', 'sahara-tours-4x402.jpg', 'sahara-tours-4x403.jpg', 'sahara-tours-4x404.jpg', 'sahara-tours-4x405.jpg']",MATCHED
5,Herbalism Marrakech,/Attraction_Review-g293734-d25386907-Reviews-Herbalism_Marrakech-Marrakech_Marrakech_Safi.html,5.0,394,"[{""rating"": ""Excellent"", ""count"": 395}, {""rating"": ""Very good"", ""count"": 7}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 1}, {""rating"": ""Terrible"", ""count"": 1}]",Department Stores,Department Stores,Marrakech,11,attractions_images/herbalism-marrakech/,"[""herbalism-marrakech01.jpg"", ""herbalism-marrakech02.jpg"", ""herbalism-marrakech03.jpg"", ""herbalism-marrakech04.jpg"", ""herbalism-marrakech05.jpg""]",5,"['herbalism-marrakech01.jpg', 'herbalism-marrakech02.jpg', 'herbalism-marrakech03.jpg', 'herbalism-marrakech04.jpg', 'herbalism-marrakech05.jpg']",MATCHED
6,Morocco Excursions,/Attraction_Review-g293734-d6105931-Reviews-Morocco_Excursions-Marrakech_Marrakech_Safi.html,5.0,795,"[{""rating"": ""Excellent"", ""count"": 762}, {""rating"": ""Very good"", ""count"": 31}, {""rating"": ""Average"", ""count"": 2}, {""rating"": ""Poor"", ""count"": 2}, {""rating"": ""Terrible"", ""count"": 1}]",Safaris,Safaris,Marrakech,18,attractions_images/morocco-excursions/,"[""morocco-excursions01.jpg"", ""morocco-excursions02.jpg"", ""morocco-excursions03.jpg"", ""morocco-excursions04.jpg"", ""morocco-excursions05.jpg""]",5,"['morocco-excursions01.jpg', 'morocco-excursions02.jpg', 'morocco-excursions03.jpg', 'morocco-excursions04.jpg', 'morocco-excursions05.jpg']",MATCHED
7,Arib Voyages Day Tours,/Attraction_Review-g293734-d1997615-Reviews-Arib_Voyages_Day_Tours-Marrakech_Marrakech_Safi.html,5.0,934,"[{""rating"": ""Excellent"", ""count"": 916}, {""rating"": ""Very good"", ""count"": 31}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 3}, {""rating"": ""Terrible"", ""count"": 0}]",Safaris,Safaris,Marrakech,12,attractions_images/arib-voyages-day-tours/,"[""arib-voyages-day-tours01.jpg"", ""arib-voyages-day-tours02.jpg"", ""arib-voyages-day-tours03.jpg"", ""arib-voyages-day-tours04.jpg"", ""arib-voyages-day-tours05.jpg""]",5,"['arib-voyages-day-tours01.jpg', 'arib-voyages-day-tours02.jpg', 'arib-voyages-day-tours03.jpg', 'arib-voyages-day-tours04.jpg', 'arib-voyages-day-tours05.jpg']",MATCHED
8,Book Desert Tours,/Attraction_Review-g293734-d23972193-Reviews-Book_Desert_Tours-Marrakech_Marrakech_Safi.html,5.0,512,"[{""rating"": ""Excellent"", ""count"": 512}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Safaris,Safaris,Marrakech,6,attractions_images/book-desert-tours/,"[""book-desert-tours01.jpg"", ""book-desert-tours02.jpg"", ""book-desert-tours03.jpg"", ""book-desert-tours04.jpg"", ""book-desert-tours05.jpg""]",5,"['book-desert-tours01.jpg', 'book-desert-tours02.jpg', 'book-desert-tours03.jpg', 'book-desert-tours04.jpg', 'book-desert-tours05.jpg']",MATCHED
9,Centre D'art Le Real Mogador,/Attraction_Review-g298349-d16966310-Reviews-Centre_D_art_Le_Real_Mogador-Essaouira_Marrakech_Safi.html,5.0,148,"[{""rating"": ""Excellent"", ""count"": 137}, {""rating"": ""Very good"", ""count"": 10}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Art Galleries,Art Galleries Points of Interest & Landmarks,Essaouira,9,attractions_images/centre-dart-le-real-mogador/,[],0,[],NO_MATCH
10,Jarjeer Mules,/Attraction_Review-g2314506-d2691064-Reviews-Jarjeer_Mules-Oumnass_Marrakech_Safi.html,5.0,150,"[{""rating"": ""Excellent"", ""count"": 151}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Nature &,Nature & Wildlife Areas,Oumnass,5,attractions_images/jarjeer-mules/,"[""jarjeer-mules01.jpg"", ""jarjeer-mules02.jpg"", ""jarjeer-mules03.jpg"", ""jarjeer-mules04.jpg"", ""jarjeer-mules05.jpg""]",5,"['jarjeer-mules01.jpg', 'jarjeer-mules02.jpg', 'jarjeer-mules03.jpg', 'jarjeer-mules04.jpg', 'jarjeer-mules05.jpg']",MATCHED
11,Sahara Riders,/Attraction_Review-g293734-d15559964-Reviews-Sahara_Riders-Marrakech_Marrakech_Safi.html,5.0,259,"[{""rating"": ""Excellent"", ""count"": 259}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Safaris,Safaris,Marrakech,11,attractions_images/sahara-riders/,"[""sahara-riders01.jpg"", ""sahara-riders02.jpg"", ""sahara-riders03.jpg"", ""sahara-riders04.jpg"", ""sahara-riders05.jpg""]",5,"['sahara-riders01.jpg', 'sahara-riders02.jpg', 'sahara-riders03.jpg', 'sahara-riders04.jpg', 'sahara-riders05.jpg']",MATCHED
12,Marruecos Morocco,/Attraction_Review-g293734-d2032499-Reviews-Marruecos_Morocco-Marrakech_Marrakech_Safi.html,5.0,304,"[{""rating"": ""Excellent"", ""count"": 298}, {""rating"": ""Very good"", ""count"": 8}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 1}]",Safaris,Safaris,Marrakech,5,attractions_images/marruecos-morocco/,"[""marruecos-morocco01.jpg"", ""marruecos-morocco02.jpg"", ""marruecos-morocco03.jpg"", ""marruecos-morocco04.jpg"", ""marruecos-morocco05.jpg""]",5,"['marruecos-morocco01.jpg', 'marruecos-morocco02.jpg', 'marruecos-morocco03.jpg', 'marruecos-morocco04.jpg', 'marruecos-morocco05.jpg']",MATCHED
13,Alphais Spa,/Attraction_Review-g293734-d11958484-Reviews-Alphais_Spa-Marrakech_Marrakech_Safi.html,5.0,1450,"[{""rating"": ""Excellent"", ""count"": 1328}, {""rating"": ""Very good"", ""count"": 87}, {""rating"": ""Average"", ""count"": 17}, {""rating"": ""Poor"", ""count"": 15}, {""rating"": ""Terrible"", ""count"": 14}]",Hammams &,Hammams & Turkish Baths Spas,Marrakech,16,attractions_images/alphais-spa/,"[""alphais-spa01.jpg"", ""alphais-spa02.jpg"", ""alphais-spa03.jpg"", ""alphais-spa04.jpg"", ""alphais-spa05.jpg""]",5,"['alphais-spa01.jpg', 'alphais-spa02.jpg', 'alphais-spa03.jpg', 'alphais-spa04.jpg', 'alphais-spa05.jpg']",MATCHED
14,Touareg Trails,/Attraction_Review-g293734-d14134671-Reviews-Touareg_Trails-Marrakech_Marrakech_Safi.html,5.0,207,"[{""rating"": ""Excellent"", ""count"": 206}, {""rating"": ""Very good"", ""count"": 2}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 1}, {""rating"": ""Terrible"", ""count"": 1}]",Sports Camps,Sports Camps & Clinics Safaris,Marrakech,12,attractions_images/touareg-trails/,"[""touareg-trails02.jpg"", ""touareg-trails03.jpg"", ""touareg-trails04.jpg"", ""touareg-trails05.jpg""]",4,"['touareg-trails02.jpg', 'touareg-trails03.jpg', 'touareg-trails04.jpg', 'touareg-trails05.jpg']",MATCHED
15,Le Bain De Kasbah Marrakech,/Attraction_Review-g293734-d23401169-Reviews-Le_Bain_De_Kasbah_Marrakech-Marrakech_Marrakech_Safi.html,5.0,991,"[{""rating"": ""Excellent"", ""count"": 929}, {""rating"": ""Very good"", ""count"": 41}, {""rating"": ""Average"", ""count"": 11}, {""rating"": ""Poor"", ""count"": 7}, {""rating"": ""Terrible"", ""count"": 7}]",Hammams &,Hammams & Turkish Baths Spas,Marrakech,15,attractions_images/le-bain-de-kasbah-marrakech/,"[""le-bain-de-kasbah-marrakech01.jpg"", ""le-bain-de-kasbah-marrakech02.jpg"", ""le-bain-de-kasbah-marrakech03.jpg"", ""le-bain-de-kasbah-marrakech05.jpg""]",4,"['le-bain-de-kasbah-marrakech01.jpg', 'le-bain-de-kasbah-marrakech02.jpg', 'le-bain-de-kasbah-marrakech03.jpg', 'le-bain-de-kasbah-marrakech05.jpg']",MATCHED
16,Cooking Workshops at La Maison Arabe,/Attraction_Review-g293734-d777146-Reviews-Cooking_Workshops_at_La_Maison_Arabe-Marrakech_Marrakech_Safi.html,5.0,812,"[{""rating"": ""Excellent"", ""count"": 743}, {""rating"": ""Very good"", ""count"": 58}, {""rating"": ""Average"", ""count"": 10}, {""rating"": ""Poor"", ""count"": 2}, {""rating"": ""Terrible"", ""count"": 1}]",Cooking Classes,Cooking Classes,Marrakech,10,attractions_images/cooking-workshops-at-la-maison-arabe/,"[""cooking-workshops-at-la-maison-arabe01.jpg"", ""cooking-workshops-at-la-maison-arabe02.jpg"", ""cooking-workshops-at-la-maison-arabe03.jpg"", ""cooking-workshops-at-la-maison-arabe04.jpg"", ""cooking-workshops-at-la-maison-arabe05.jpg""]",5,"['cooking-workshops-at-la-maison-arabe01.jpg', 'cooking-workshops-at-la-maison-arabe02.jpg', 'cooking-workshops-at-la-maison-arabe03.jpg', 'cooking-workshops-at-la-maison-arabe04.jpg', 'cooking-workshops-at-la-maison-arabe05.jpg']",MATCHED
17,MEDTAXIESSAOUIRA,/Attraction_Review-g298349-d8472210-Reviews-MEDTAXIESSAOUIRA-Essaouira_Marrakech_Safi.html,5.0,1194,"[{""rating"": ""Excellent"", ""count"": 1088}, {""rating"": ""Very good"", ""count"": 84}, {""rating"": ""Average"", ""count"": 9}, {""rating"": ""Poor"", ""count"": 6}, {""rating"": ""Terrible"", ""count"": 15}]",Taxis &,Taxis & Shuttles,Essaouira,13,attractions_images/medtaxiessaouira/,"[""medtaxiessaouira01.jpg"", ""medtaxiessaouira02.jpg"", ""medtaxiessaouira03.jpg"", ""medtaxiessaouira04.jpg"", ""medtaxiessaouira05.jpg""]",5,"['medtaxiessaouira01.jpg', 'medtaxiessaouira02.jpg', 'medtaxiessaouira03.jpg', 'medtaxiessaouira04.jpg', 'medtaxiessaouira05.jpg']",MATCHED
18,Tissir Jewellery,/Attraction_Review-g293734-d12937993-Reviews-Tissir_Jewellery-Marrakech_Marrakech_Safi.html,5.0,169,"[{""rating"": ""Excellent"", ""count"": 164}, {""rating"": ""Very good"", ""count"": 4}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 1}, {""rating"": ""Terrible"", ""count"": 0}]",Speciality &,Speciality & Gift Shops,Marrakech,10,attractions_images/tissir-jewellery/,"[""tissir-jewellery01.jpg"", ""tissir-jewellery02.jpg"", ""tissir-jewellery03.jpg"", ""tissir-jewellery04.jpg"", ""tissir-jewellery05.jpg""]",5,"['tissir-jewellery01.jpg', 'tissir-jewellery02.jpg', 'tissir-jewellery03.jpg', 'tissir-jewellery04.jpg', 'tissir-jewellery05.jpg']",MATCHED
19,Marrakech Khmisa Cooking Class,/Attraction_Review-g293734-d15554488-Reviews-Marrakech_Khmisa_Cooking_Class-Marrakech_Marrakech_Safi.html,5.0,1130,"[{""rating"": ""Excellent"", ""count"": 1046}, {""rating"": ""Very good"", ""count"": 75}, {""rating"": ""Average"", ""count"": 10}, {""rating"": ""Poor"", ""count"": 3}, {""rating"": ""Terrible"", ""count"": 3}]",Cooking Classes,Cooking Classes,Marrakech,10,attractions_images/marrakech-khmisa-cooking-class/,"[""marrakech-khmisa-cooking-class01.jpg"", ""marrakech-khmisa-cooking-class02.jpg"", ""marrakech-khmisa-cooking-class03.jpg"", ""marrakech-khmisa-cooking-class04.jpg"", ""marrakech-khmisa-cooking-class05.jpg""]",5,"['marrakech-khmisa-cooking-class01.jpg', 'marrakech-khmisa-cooking-class02.jpg', 'marrakech-khmisa-cooking-class03.jpg', 'marrakech-khmisa-cooking-class04.jpg', 'marrakech-khmisa-cooking-class05.jpg']",MATCHED
20,Supplier Transport Morocco - Fennou Tours,/Attraction_Review-g293734-d23604458-Reviews-Supplier_Transport_Morocco_Fennou_Tours-Marrakech_Marrakech_Safi.html,5.0,1168,"[{""rating"": ""Excellent"", ""count"": 1072}, {""rating"": ""Very good"", ""count"": 59}, {""rating"": ""Average"", ""count"": 9}, {""rating"": ""Poor"", ""count"": 10}, {""rating"": ""Terrible"", ""count"": 19}]",Taxis &,Taxis & Shuttles,Marrakech,10,attractions_images/supplier-transport-morocco-fennou-tours/,"[""supplier-transport-morocco---fennou-tours01.jpg"", ""supplier-transport-morocco---fennou-tours02.jpg"", ""supplier-transport-morocco---fennou-tours03.jpg"", ""supplier-transport-morocco---fennou-tours04.jpg"", ""supplier-transport-morocco---fennou-tours05.jpg""]",5,"['supplier-transport-morocco---fennou-tours01.jpg', 'supplier-transport-morocco---fennou-tours02.jpg', 'supplier-transport-morocco---fennou-tours03.jpg', 'supplier-transport-morocco---fennou-tours04.jpg', 'supplier-transport-morocco---fennou-tours05.jpg']",MATCHED
21,Babouchka Marrakech,/Attraction_Review-g293734-d28276841-Reviews-Babouchka_Marrakech-Marrakech_Marrakech_Safi.html,5.0,261,"[{""rating"": ""Excellent"", ""count"": 259}, {""rating"": ""Very good"", ""count"": 2}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 1}]",Dance Clubs,Dance Clubs & Discos,Marrakech,7,attractions_images/babouchka-marrakech/,"[""babouchka-marrakech01.jpg"", ""babouchka-marrakech02.jpg"", ""babouchka-marrakech03.jpg"", ""babouchka-marrakech04.jpg"", ""babouchka-marrakech05.jpg""]",5,"['babouchka-marrakech01.jpg', 'babouchka-marrakech02.jpg', 'babouchka-marrakech03.jpg', 'babouchka-marrakech04.jpg', 'babouchka-marrakech05.jpg']",MATCHED
22,Mor Thai Spa,/Attraction_Review-g293734-d9980774-Reviews-Mor_Thai_Spa-Marrakech_Marrakech_Safi.html,5.0,354,"[{""rating"": ""Excellent"", ""count"": 345}, {""rating"": ""Very good"", ""count"": 6}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 1}, {""rating"": ""Terrible"", ""count"": 2}]",Hammams &,Hammams & Turkish Baths Spas,Marrakech,8,attractions_images/mor-thai-spa/,"[""mor-thai-spa01.jpg"", ""mor-thai-spa02.jpg"", ""mor-thai-spa03.jpg"", ""mor-thai-spa04.jpg"", ""mor-thai-spa05.jpg""]",5,"['mor-thai-spa01.jpg', 'mor-thai-spa02.jpg', 'mor-thai-spa03.jpg', 'mor-thai-spa04.jpg', 'mor-thai-spa05.jpg']",MATCHED
23,Aux Merveilles de Marrakech,/Attraction_Review-g293734-d7137816-Reviews-Aux_Merveilles_de_Marrakech-Marrakech_Marrakech_Safi.html,5.0,375,"[{""rating"": ""Excellent"", ""count"": 339}, {""rating"": ""Very good"", ""count"": 29}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 2}, {""rating"": ""Terrible"", ""count"": 6}]",Speciality &,Speciality & Gift Shops,Marrakech,13,attractions_images/aux-merveilles-de-marrakech/,"[""aux-merveilles-de-marrakech01.jpg"", ""aux-merveilles-de-marrakech02.jpg"", ""aux-merveilles-de-marrakech03.jpg"", ""aux-merveilles-de-marrakech04.jpg"", ""aux-merveilles-de-marrakech05.jpg""]",5,"['aux-merveilles-de-marrakech01.jpg', 'aux-merveilles-de-marrakech02.jpg', 'aux-merveilles-de-marrakech03.jpg', 'aux-merveilles-de-marrakech04.jpg', 'aux-merveilles-de-marrakech05.jpg']",MATCHED
24,Kosyspa,/Attraction_Review-g293734-d7206830-Reviews-Kosyspa-Marrakech_Marrakech_Safi.html,5.0,555,"[{""rating"": ""Excellent"", ""count"": 482}, {""rating"": ""Very good"", ""count"": 59}, {""rating"": ""Average"", ""count"": 6}, {""rating"": ""Poor"", ""count"": 5}, {""rating"": ""Terrible"", ""count"": 4}]",Spas,Spas,Marrakech,12,attractions_images/kosyspa/,"[""kosyspa01.jpg"", ""kosyspa02.jpg"", ""kosyspa03.jpg"", ""kosyspa04.jpg"", ""kosyspa05.jpg""]",5,"['kosyspa01.jpg', 'kosyspa02.jpg', 'kosyspa03.jpg', 'kosyspa04.jpg', 'kosyspa05.jpg']",MATCHED
25,Faim d'Epices,/Attraction_Review-g293734-d1985394-Reviews-Faim_d_Epices-Marrakech_Marrakech_Safi.html,5.0,2028,"[{""rating"": ""Excellent"", ""count"": 1920}, {""rating"": ""Very good"", ""count"": 89}, {""rating"": ""Average"", ""count"": 11}, {""rating"": ""Poor"", ""count"": 3}, {""rating"": ""Terrible"", ""count"": 5}]",Lessons &,Lessons & Workshops Cooking Classes,Marrakech,17,attractions_images/faim-depices/,[],0,[],NO_MATCH
26,Morocco Transfer,/Attraction_Review-g293734-d17333913-Reviews-Morocco_Transfer-Marrakech_Marrakech_Safi.html,5.0,480,"[{""rating"": ""Excellent"", ""count"": 457}, {""rating"": ""Very good"", ""count"": 15}, {""rating"": ""Average"", ""count"": 2}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 7}]",Taxis &,Taxis & Shuttles,Marrakech,9,attractions_images/morocco-transfer/,"[""morocco-transfer01.jpg"", ""morocco-transfer02.jpg"", ""morocco-transfer03.jpg"", ""morocco-transfer04.jpg"", ""morocco-transfer05.jpg""]",5,"['morocco-transfer01.jpg', 'morocco-transfer02.jpg', 'morocco-transfer03.jpg', 'morocco-transfer04.jpg', 'morocco-transfer05.jpg']",MATCHED
27,Chef Laila cooking classes,/Attraction_Review-g293734-d23929997-Reviews-Chef_Laila_cooking_classes-Marrakech_Marrakech_Safi.html,5.0,539,"[{""rating"": ""Excellent"", ""count"": 516}, {""rating"": ""Very good"", ""count"": 27}, {""rating"": ""Average"", ""count"": 8}, {""rating"": ""Poor"", ""count"": 2}, {""rating"": ""Terrible"", ""count"": 1}]",Cooking Classes,Cooking Classes,Marrakech,10,attractions_images/chef-laila-cooking-classes/,"[""chef-laila-cooking-classes01.jpg"", ""chef-laila-cooking-classes02.jpg"", ""chef-laila-cooking-classes03.jpg"", ""chef-laila-cooking-classes04.jpg"", ""chef-laila-cooking-classes05.jpg""]",5,"['chef-laila-cooking-classes01.jpg', 'chef-laila-cooking-classes02.jpg', 'chef-laila-cooking-classes03.jpg', 'chef-laila-cooking-classes04.jpg', 'chef-laila-cooking-classes05.jpg']",MATCHED
28,Amal Cooking Class,/Attraction_Review-g293734-d8125241-Reviews-Amal_Cooking_Class-Marrakech_Marrakech_Safi.html,5.0,434,"[{""rating"": ""Excellent"", ""count"": 401}, {""rating"": ""Very good"", ""count"": 21}, {""rating"": ""Average"", ""count"": 9}, {""rating"": ""Poor"", ""count"": 3}, {""rating"": ""Terrible"", ""count"": 2}]",Cooking Classes,Cooking Classes,Marrakech,11,attractions_images/amal-cooking-class/,"[""amal-cooking-class01.jpg"", ""amal-cooking-class02.jpg"", ""amal-cooking-class03.jpg"", ""amal-cooking-class04.jpg"", ""amal-cooking-class05.jpg""]",5,"['amal-cooking-class01.jpg', 'amal-cooking-class02.jpg', 'amal-cooking-class03.jpg', 'amal-cooking-class04.jpg', 'amal-cooking-class05.jpg']",MATCHED
29,Morocco Private Excursion,/Attraction_Review-g293734-d8064226-Reviews-Morocco_Private_Excursion-Marrakech_Marrakech_Safi.html,5.0,370,"[{""rating"": ""Excellent"", ""count"": 360}, {""rating"": ""Very good"", ""count"": 10}, {""rating"": ""Average"", ""count"": 1}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Taxis &,Taxis & Shuttles,Marrakech,10,attractions_images/morocco-private-excursion/,"[""morocco-private-excursion01.jpg"", ""morocco-private-excursion02.jpg"", ""morocco-private-excursion03.jpg"", ""morocco-private-excursion04.jpg"", ""morocco-private-excursion05.jpg""]",5,"['morocco-private-excursion01.jpg', 'morocco-private-excursion02.jpg', 'morocco-private-excursion03.jpg', 'morocco-private-excursion04.jpg', 'morocco-private-excursion05.jpg']",MATCHED
30,Morocco Travel Discovery,/Attraction_Review-g293734-d19125481-Reviews-Morocco_Travel_Discovery-Marrakech_Marrakech_Safi.html,5.0,478,"[{""rating"": ""Excellent"", ""count"": 513}, {""rating"": ""Very good"", ""count"": 1}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Taxis &,Taxis & Shuttles,Marrakech,12,attractions_images/morocco-travel-discovery/,"[""morocco-travel-discovery01.jpg"", ""morocco-travel-discovery02.jpg"", ""morocco-travel-discovery03.jpg"", ""morocco-travel-discovery04.jpg"", ""morocco-travel-discovery05.jpg""]",5,"['morocco-travel-discovery01.jpg', 'morocco-travel-discovery02.jpg', 'morocco-travel-discovery03.jpg', 'morocco-travel-discovery04.jpg', 'morocco-travel-discovery05.jpg']",MATCHED
31,Beauty Click Spa,/Attraction_Review-g293734-d26996871-Reviews-Beauty_Click_Spa-Marrakech_Marrakech_Safi.html,5.0,253,"[{""rating"": ""Excellent"", ""count"": 264}, {""rating"": ""Very good"", ""count"": 14}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Spas,Spas,Marrakech,9,attractions_images/beauty-click-spa/,"[""beauty-click-spa01.jpg"", ""beauty-click-spa02.jpg"", ""beauty-click-spa03.jpg"", ""beauty-click-spa04.jpg"", ""beauty-click-spa05.jpg""]",5,"['beauty-click-spa01.jpg', 'beauty-click-spa02.jpg', 'beauty-click-spa03.jpg', 'beauty-click-spa04.jpg', 'beauty-click-spa05.jpg']",MATCHED
32,Latifa Cooking Classes,/Attraction_Review-g298349-d18922920-Reviews-Latifa_Cooking_Classes-Essaouira_Marrakech_Safi.html,5.0,264,"[{""rating"": ""Excellent"", ""count"": 271}, {""rating"": ""Very good"", ""count"": 0}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 0}]",Cooking Classes,Cooking Classes,Essaouira,7,attractions_images/latifa-cooking-classes/,"[""latifa-cooking-classes01.jpg"", ""latifa-cooking-classes02.jpg"", ""latifa-cooking-classes03.jpg"", ""latifa-cooking-classes04.jpg"", ""latifa-cooking-classes05.jpg""]",5,"['latifa-cooking-classes01.jpg', 'latifa-cooking-classes02.jpg', 'latifa-cooking-classes03.jpg', 'latifa-cooking-classes04.jpg', 'latifa-cooking-classes05.jpg']",MATCHED
33,Marrakech Vip Tours,/Attraction_Review-g298349-d11827082-Reviews-Marrakech_Vip_Tours-Essaouira_Marrakech_Safi.html,5.0,451,"[{""rating"": ""Excellent"", ""count"": 438}, {""rating"": ""Very good"", ""count"": 14}, {""rating"": ""Average"", ""count"": 0}, {""rating"": ""Poor"", ""count"": 0}, {""rating"": ""Terrible"", ""count"": 1}]",Taxis &,Taxis & Shuttles,Essaouira,12,attractions_images/marrakech-vip-tours/,"[""marrakech-vip-tours01.jpg"", ""marrakech-vip-tours02.jpg"", ""marrakech-vip-tours03.jpg"", ""marrakech-vip-tours04.jpg"", ""marrakech-vip-tours05.jpg""]",5,"['marrakech-vip-tours01.jpg', 'marrakech-vip-tours02.jpg', 'marrakech-vip-tours03.jpg', 'marrakech-vip-tours04.jpg', 'marrakech-vip-tours05.jpg']",MATCHED
