id,attraction_name,attraction_url,rating,review_count,rating_details,category,description,city,languages_count,images_folder,images_path,images_count,images_list,status
3463,AGAFAY GOLDEN TOURIST LTD,/Attraction_Review-g15276171-d32837058-Reviews-AGAFAY_GOLDEN_TOURIST_LTD-Agafay_Marrakech_Safi.html,5.0,0,[],"4WD, ATV","4WD, ATV & Off-Road Tours",Agafay,0,attractions_images/agafay-golden-tourist-ltd/,[],0,[],NO_MATCH
3464,Guide Me Morocco,/Attraction_Review-g293734-d32850810-Reviews-Guide_Me_Morocco-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Cultural Tours,Marrakech,0,attractions_images/guide-me-morocco/,[],0,[],NO_MATCH
3465,Boubrais,/Attraction_Review-g15276171-d32853433-Reviews-Boubrais-Agafay_Marrakech_Safi.html,5.0,0,[],Bike Tours,Bike Tours,Agafay,0,attractions_images/boubrais/,[],0,[],NO_MATCH
3466,Agafay Vibes,/Attraction_Review-g293734-d32767572-Reviews-Agafay_Vibes-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Food Tours,Marrakech,0,attractions_images/agafay-vibes/,[],0,[],NO_MATCH
3467,Coopérative Les Mains D'or Al Mokhtaria,/Attraction_Review-g298349-d32761345-Reviews-Cooperative_Les_Mains_D_or_Al_Mokhtaria-Essaouira_Marrakech_Safi.html,5.0,0,[],Speciality &,Speciality & Gift Shops Cultural Tours,Essaouira,0,attractions_images/coopérative-les-mains-dor-al-mokhtaria/,[],0,[],NO_MATCH
3468,Cooperative Les Mains D'or,/Attraction_Review-g293734-d32761314-Reviews-Cooperative_Les_Mains_D_or-Marrakech_Marrakech_Safi.html,5.0,0,[],Antique Shops,Antique Shops,Marrakech,0,attractions_images/cooperative-les-mains-dor/,[],0,[],NO_MATCH
3469,Salon Colisée Coiffure Et Esthetique,/Attraction_Review-g293734-d32858957-Reviews-Salon_Colisee_Coiffure_Et_Esthetique-Marrakech_Marrakech_Safi.html,4.5,0,[],Spas,Spas,Marrakech,0,attractions_images/salon-colisée-coiffure-et-esthetique/,[],0,[],NO_MATCH
3470,Morocco experience tours,/Attraction_Review-g293734-d32860224-Reviews-Morocco_experience_tours-Marrakech_Marrakech_Safi.html,5.0,0,[],"Bar, Club","Bar, Club & Pub Tours Multi-day Tours",Marrakech,0,attractions_images/morocco-experience-tours/,[],0,[],NO_MATCH
3471,Marrakech Gardens Travel Agency,/Attraction_Review-g293734-d32822387-Reviews-Marrakech_Gardens_Travel_Agency-Marrakech_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Motorcycle Tours,Marrakech,0,attractions_images/marrakech-gardens-travel-agency/,[],0,[],NO_MATCH
3472,Travel Guide Planet,/Attraction_Review-g293734-d32776910-Reviews-Travel_Guide_Planet-Marrakech_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Sightseeing Tours,Marrakech,0,attractions_images/travel-guide-planet/,[],0,[],NO_MATCH
3473,Atlas Travel Morocco,/Attraction_Review-g293734-d32786750-Reviews-Atlas_Travel_Morocco-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Hiking & Camping Tours,Marrakech,0,attractions_images/atlas-travel-morocco/,[],0,[],NO_MATCH
3474,Dream Morocco,/Attraction_Review-g293734-d32825040-Reviews-Dream_Morocco-Marrakech_Marrakech_Safi.html,5.0,0,[],"4WD, ATV","4WD, ATV & Off-Road Tours Safaris",Marrakech,0,attractions_images/dream-morocco/,[],0,[],NO_MATCH
3475,Yufayyur Beauty,/Attraction_Review-g293734-d32826325-Reviews-Yufayyur_Beauty-Marrakech_Marrakech_Safi.html,4.5,0,[],Arab Baths,Arab Baths Hammams & Turkish Baths,Marrakech,0,attractions_images/yufayyur-beauty/,[],0,[],NO_MATCH
3476,Mahawa Kiteboarding,/Attraction_Review-g298349-d32851881-Reviews-Mahawa_Kiteboarding-Essaouira_Marrakech_Safi.html,5.0,0,[],Surfing &,Surfing & Windsurfing,Essaouira,0,attractions_images/mahawa-kiteboarding/,[],0,[],NO_MATCH
3477,Simonas,/Attraction_Review-g298349-d32827168-Reviews-Simonas-Essaouira_Marrakech_Safi.html,5.0,0,[],Sports Camps,Sports Camps & Clinics Taxis & Shuttles,Essaouira,0,attractions_images/simonas/,[],0,[],NO_MATCH
3478,Moga Yoga Studio,/Attraction_Review-g298349-d32828856-Reviews-Moga_Yoga_Studio-Essaouira_Marrakech_Safi.html,5.0,0,[],Yoga &,Yoga & Pilates,Essaouira,0,attractions_images/moga-yoga-studio/,[],0,[],NO_MATCH
3479,BEST DRIVER FOR YOUR AIRPORT TRANSFERTS,/Attraction_Review-g15276171-d32800996-Reviews-BEST_DRIVER_FOR_YOUR_AIRPORT_TRANSFERTS-Agafay_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Taxis & Shuttles,Agafay,0,attractions_images/best-driver-for-your-airport-transferts/,[],0,[],NO_MATCH
3480,Ourika Valley,/Attraction_Review-g293734-d32798502-Reviews-Ourika_Valley-Marrakech_Marrakech_Safi.html,5.0,0,[],Valleys,Valleys,Marrakech,0,attractions_images/ourika-valley/,[],0,[],NO_MATCH
3481,Marrakech Tour Company,/Attraction_Review-g293734-d32867034-Reviews-Marrakech_Tour_Company-Marrakech_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours,Marrakech,0,attractions_images/marrakech-tour-company/,"[""marrakech-tour-company01.jpg"", ""marrakech-tour-company02.jpg"", ""marrakech-tour-company03.jpg"", ""marrakech-tour-company04.jpg"", ""marrakech-tour-company05.jpg""]",5,"['marrakech-tour-company01.jpg', 'marrakech-tour-company02.jpg', 'marrakech-tour-company03.jpg', 'marrakech-tour-company04.jpg', 'marrakech-tour-company05.jpg']",MATCHED
3482,Paragliding Dar Adali,/Attraction_Review-g293734-d32836767-Reviews-Paragliding_Dar_Adali-Marrakech_Marrakech_Safi.html,5.0,0,[],Parasailing &,Parasailing & Paragliding Adrenaline & Extreme Tours,Marrakech,0,attractions_images/paragliding-dar-adali/,[],0,[],NO_MATCH
3483,Agafay Safari,/Attraction_Review-g15276171-d32863561-Reviews-Agafay_Safari-Agafay_Marrakech_Safi.html,5.0,0,[],"4WD, ATV","4WD, ATV & Off-Road Tours",Agafay,0,attractions_images/agafay-safari/,[],0,[],NO_MATCH
3484,Atlas Le Piney Travel,/Attraction_Review-g293734-d32866578-Reviews-Atlas_Le_Piney_Travel-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Air Tours,Marrakech,0,attractions_images/atlas-le-piney-travel/,[],0,[],NO_MATCH
3485,Agafay Hills,/Attraction_Review-g15276171-d32811520-Reviews-Agafay_Hills-Agafay_Marrakech_Safi.html,5.0,0,[],Safaris Taxis,Safaris Taxis & Shuttles,Agafay,0,attractions_images/agafay-hills/,[],0,[],NO_MATCH
3486,From Kech,/Attraction_Review-g293734-d32843895-Reviews-From_Kech-Marrakech_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Sightseeing Tours,Marrakech,0,attractions_images/from-kech/,[],0,[],NO_MATCH
3487,Amghar Tour,/Attraction_Review-g293734-d32854923-Reviews-Amghar_Tour-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours Multi-day Tours,Marrakech,0,attractions_images/amghar-tour/,[],0,[],NO_MATCH
3488,maroc unique voyege,/Attraction_Review-g293734-d32892438-Reviews-Maroc_unique_voyege-Marrakech_Marrakech_Safi.html,5.0,0,[],Multi-day Tours,Multi-day Tours Balloon Rides,Marrakech,0,attractions_images/maroc-unique-voyege/,[],0,[],NO_MATCH
3489,"A tour of Imlil I saw the majestic mountains, the beautiful village, and the small waterfalls",/Attraction_Review-g293734-d32870016-Reviews-A_tour_of_Imlil_I_saw_the_majestic_mountains_the_beautiful_village_and_the_small.html,5.0,0,[],Hiking &,Hiking & Camping Tours,Marrakech,0,attractions_images/a-tour-of-imlil-i-saw-the-majestic-mountains-the-beautiful-village-and-the-small-waterfalls/,[],0,[],NO_MATCH
3490,Bbc Events,/Attraction_Review-g293734-d32972263-Reviews-Bbc_Events-Marrakech_Marrakech_Safi.html,5.0,0,[],Private Tours,Private Tours,Marrakech,0,attractions_images/bbc-events/,[],0,[],NO_MATCH
3491,Visit Morrocco,/Attraction_Review-g293734-d32876137-Reviews-Visit_Morrocco-Marrakech_Marrakech_Safi.html,5.0,0,[],City Tours,City Tours,Marrakech,0,attractions_images/visit-morrocco/,[],0,[],NO_MATCH
3492,Najem Tours,/Attraction_Review-g293734-d32974679-Reviews-Najem_Tours-Marrakech_Marrakech_Safi.html,5.0,0,[],Private Tours,Private Tours,Marrakech,0,attractions_images/najem-tours/,[],0,[],NO_MATCH
3493,Artisigner,/Attraction_Review-g293734-d32880813-Reviews-Artisigner-Marrakech_Marrakech_Safi.html,5.0,0,[],Speciality &,Speciality & Gift Shops,Marrakech,0,attractions_images/artisigner/,[],0,[],NO_MATCH
3494,Marrakech Luxury Bike,/Attraction_Review-g293734-d32976523-Reviews-Marrakech_Luxury_Bike-Marrakech_Marrakech_Safi.html,5.0,0,[],Motorcycle Tours,Motorcycle Tours Gear Rentals,Marrakech,0,attractions_images/marrakech-luxury-bike/,[],0,[],NO_MATCH
3495,Tamardoulte Brahim,/Attraction_Review-g293734-d32977975-Reviews-Tamardoulte_Brahim-Marrakech_Marrakech_Safi.html,5.0,0,[],Taxis &,Taxis & Shuttles Day Trips,Marrakech,0,attractions_images/tamardoulte-brahim/,[],0,[],NO_MATCH
